Date,Open,High,Low,Close,Volume
31-Dec-10,-,-,-,0.73,-
30-Dec-10,-,-,-,0.72,-
29-Dec-10,-,-,-,0.71,-
28-Dec-10,-,-,-,0.7,-
27-Dec-10,-,-,-,0.69,-
26-Dec-10,-,-,-,0.69,-
25-Dec-10,-,-,-,0.69,-
24-Dec-10,-,-,-,0.7,-
23-Dec-10,-,-,-,0.7,-
22-Dec-10,-,-,-,0.7,-
21-Dec-10,-,-,-,0.7,-
20-Dec-10,-,-,-,0.7,-
19-Dec-10,-,-,-,0.69,-
18-Dec-10,-,-,-,0.69,-
17-Dec-10,-,-,-,0.69,-
16-Dec-10,-,-,-,0.69,-
15-Dec-10,-,-,-,0.69,-
14-Dec-10,-,-,-,0.68,-
13-Dec-10,-,-,-,0.68,-
12-Dec-10,-,-,-,0.69,-
11-Dec-10,-,-,-,0.68,-
10-Dec-10,-,-,-,0.69,-
9-Dec-10,-,-,-,0.69,-
8-Dec-10,-,-,-,0.68,-
7-Dec-10,-,-,-,0.68,-
6-Dec-10,-,-,-,0.68,-
5-Dec-10,-,-,-,0.68,-
4-Dec-10,-,-,-,0.69,-
3-Dec-10,-,-,-,0.69,-
2-Dec-10,-,-,-,0.7,-
1-Dec-10,-,-,-,0.7,-
30-Nov-10,-,-,-,0.71,-
29-Nov-10,-,-,-,0.71,-
28-Nov-10,-,-,-,0.71,-
27-Nov-10,-,-,-,0.71,-
26-Nov-10,-,-,-,0.71,-
25-Nov-10,-,-,-,0.71,-
24-Nov-10,-,-,-,0.72,-
23-Nov-10,-,-,-,0.72,-
22-Nov-10,-,-,-,0.72,-
21-Nov-10,-,-,-,0.71,-
20-Nov-10,-,-,-,0.71,-
19-Nov-10,-,-,-,0.71,-
18-Nov-10,-,-,-,0.71,-
17-Nov-10,-,-,-,0.71,-
16-Nov-10,-,-,-,0.71,-
15-Nov-10,-,-,-,0.71,-
14-Nov-10,-,-,-,0.71,-
13-Nov-10,-,-,-,0.71,-
12-Nov-10,-,-,-,0.71,-
